No,dist,elevation,azimuth,dist_s2r,dist_r2s,Split,GroundTruth,Predicted,Error(mm)
150,420,30,180,3.435128948,2.844564748,Training,6.28,6.93,0.66
151,420,30,210,4.862590069,4.061095412,Validation,8.92,9.87,0.95
152,420,30,240,4.669228275,3.500661305,Training,8.17,6.17,2.00
153,420,30,270,5.980110378,3.336907272,Training,9.32,5.48,3.83
154,420,30,300,5.506031893,3.810050008,Training,9.32,8.08,1.24
155,420,30,330,6.68420033,4.570217805,Training,11.25,8.44,2.81
156,420,35,0,7.581699407,4.29345033,Training,11.88,8.82,3.06
109,420,15,30,3.604255098,2.599068891,Training,6.20,6.27,0.07
158,420,35,60,6.932398123,5.307119381,Training,12.24,8.23,4.01
159,420,35,90,3.958340438,3.375300365,Training,7.33,7.21,0.12
160,420,35,120,3.924259469,3.16705361,Validation,7.09,10.37,3.28
161,420,35,150,5.380371802,3.132744329,Validation,8.51,10.13,1.62
162,420,35,180,3.254930637,2.59360694,Training,5.85,5.71,0.14
163,420,35,210,3.917319264,3.133671162,Training,7.05,6.65,0.40
164,420,35,240,4.500598849,3.036597591,Training,7.54,6.87,0.67
165,420,35,270,6.120012767,4.417463936,Training,10.54,5.62,4.91
166,420,35,300,5.478340736,3.47077512,Validation,8.95,8.24,0.71
167,420,35,330,6.450404701,3.754012383,Training,10.20,7.76,2.45
168,440,5,0,7.561522104,5.304801532,Training,12.87,10.91,1.95
193,440,15,30,4.723778077,3.343559086,Training,8.07,6.51,1.56
170,440,5,60,7.423865212,4.275257892,Training,11.70,11.93,0.23
171,440,5,90,8.027005324,4.89256277,Training,12.92,8.93,3.99
172,440,5,120,4.44545734,3.41565487,Training,7.86,6.34,1.52
173,440,5,150,4.133352303,3.321009649,Training,7.45,8.19,0.74
174,440,5,180,7.666475345,3.873126888,Validation,11.54,6.31,5.23
175,440,5,210,4.898282375,2.902599061,Training,7.80,6.16,1.64
176,440,5,240,3.835165472,2.91236516,Training,6.75,5.08,1.67
177,440,5,270,4.042756907,3.356747829,Training,7.40,4.75,2.65
178,440,5,300,11.38730378,4.633255074,Training,16.02,11.48,4.54
179,440,5,330,14.99045049,3.81939071,Training,18.81,7.98,10.83
180,440,10,0,11.65914793,4.404189684,Training,16.06,9.10,6.96
277,460,15,30,4.812594689,3.844681908,Training,8.66,6.51,2.15
182,440,10,60,5.367403875,4.483070286,Training,9.85,6.79,3.06
183,440,10,90,4.832228468,4.538693457,Training,9.37,7.95,1.42
184,440,10,120,4.216643524,3.261184561,Training,7.48,8.37,0.90
185,440,10,150,4.227629433,3.373684301,Training,7.60,10.73,3.13
186,440,10,180,5.258680672,2.750208921,Training,8.01,7.44,0.57
187,440,10,210,4.460261137,3.939139363,Validation,8.40,6.81,1.59
188,440,10,240,5.59656386,4.554719762,Validation,10.15,10.75,0.59
189,440,10,270,9.978850757,5.047084142,Validation,15.03,4.66,10.37
190,440,10,300,18.14371538,5.857390737,Validation,24.00,7.08,16.93
191,440,10,330,5.14194317,3.501497118,Validation,8.64,7.59,1.06
192,440,15,0,6.534984695,3.50114818,Training,10.04,8.42,1.62
361,480,15,30,3.976679631,3.390608851,Training,7.37,7.01,0.36
194,440,15,60,6.615109263,4.199313989,Training,10.81,7.37,3.45
195,440,15,90,4.13065064,3.275504129,Training,7.41,7.79,0.39
196,440,15,120,4.959236039,3.341986735,Training,8.30,9.40,1.10
197,440,15,150,5.642666441,3.041159946,Training,8.68,10.84,2.16
198,440,15,180,4.696796298,3.508918158,Training,8.21,7.55,0.65
199,440,15,210,4.161347944,2.96303043,Training,7.12,5.50,1.62
200,440,15,240,4.343639943,2.837950546,Training,7.18,5.39,1.79
201,440,15,270,5.50223477,4.18551136,Validation,9.69,5.23,4.46
202,440,15,300,5.016126974,4.189820589,Training,9.21,7.24,1.96
203,440,15,330,5.670814884,3.142133476,Training,8.81,7.87,0.94
204,440,20,0,5.288664719,3.592305401,Training,8.88,7.92,0.96
445,500,15,30,6.60505973,3.624060588,Validation,10.23,7.05,3.18
206,440,20,60,4.64228201,3.318841496,Training,7.96,7.91,0.05
207,440,20,90,3.943805463,3.792293513,Validation,7.74,7.85,0.11
208,440,20,120,6.095954248,2.638242832,Training,8.73,5.91,2.83
209,440,20,150,5.197497285,3.148523886,Training,8.35,9.32,0.98
210,440,20,180,4.368487966,3.265666675,Training,7.63,7.11,0.53
211,440,20,210,5.456083975,4.088835461,Training,9.54,6.37,3.18
212,440,20,240,4.356009482,3.021904355,Validation,7.38,6.29,1.09
213,440,20,270,4.397074785,3.061269546,Training,7.46,5.47,1.99
214,440,20,300,5.85874045,4.133376267,Validation,9.99,7.60,2.39
215,440,20,330,4.104165466,3.685889256,Training,7.79,8.10,0.31
216,440,25,0,4.746949307,3.178683879,Training,7.93,8.12,0.19
37,400,20,30,5.544859971,2.940204414,Training,8.49,5.96,2.53
218,440,25,60,4.284050855,3.097992457,Training,7.38,7.51,0.13
219,440,25,90,5.255102899,3.033233914,Training,8.29,7.51,0.78
220,440,25,120,4.702781686,3.420924799,Training,8.12,5.54,2.59
221,440,25,150,5.04052582,4.053337078,Training,9.09,6.15,2.94
222,440,25,180,4.167819778,3.082711579,Training,7.25,6.05,1.20
223,440,25,210,5.314448184,3.659896449,Training,8.97,5.71,3.27
224,440,25,240,6.051950643,4.41411319,Training,10.47,7.40,3.07
225,440,25,270,5.689304822,3.341694702,Training,9.03,6.86,2.17
226,440,25,300,4.100315632,2.952522837,Training,7.05,8.04,0.98
227,440,25,330,7.022797672,4.387102285,Training,11.41,8.41,3.00
228,440,30,0,4.652540736,3.272600034,Training,7.93,8.26,0.33
121,420,20,30,5.204823654,3.008939019,Validation,8.21,6.12,2.09
230,440,30,60,5.134747463,3.517198303,Training,8.65,7.25,1.40
231,440,30,90,4.237114908,3.840574221,Training,8.08,7.12,0.96
232,440,30,120,4.280606,3.614335532,Training,7.89,10.36,2.46
233,440,30,150,5.722941864,3.835005653,Training,9.56,9.41,0.15
234,440,30,180,5.443255961,4.698775161,Training,10.14,6.89,3.25
235,440,30,210,6.634229595,3.922702562,Validation,10.56,8.35,2.21
236,440,30,240,5.744994351,3.990618029,Training,9.74,6.06,3.67
237,440,30,270,5.585972156,4.518748339,Training,10.10,6.90,3.21
238,440,30,300,5.411542668,3.602967987,Training,9.01,7.73,1.29
239,440,30,330,4.77682554,3.074404297,Training,7.85,8.18,0.33
240,440,35,0,5.794853463,3.900968702,Training,9.70,8.82,0.88
205,440,20,30,4.277020879,3.072044672,Validation,7.35,6.14,1.21
242,440,35,60,4.15757006,2.990319682,Training,7.15,8.23,1.08
243,440,35,90,3.493202567,3.006422751,Validation,6.50,6.99,0.49
244,440,35,120,6.036176995,4.044332243,Training,10.08,10.41,0.33
245,440,35,150,4.877454015,3.430871635,Training,8.31,10.10,1.79
246,440,35,180,4.826496363,4.147616813,Training,8.97,6.08,2.90
247,440,35,210,5.580951047,4.637532334,Training,10.22,6.66,3.55
248,440,35,240,7.981879925,4.357892013,Training,12.34,6.76,5.58
249,440,35,270,5.154974113,3.862305143,Training,9.02,5.90,3.12
250,440,35,300,6.307658224,5.07228587,Training,11.38,8.24,3.14
251,440,35,330,5.140254001,3.544556379,Validation,8.68,7.81,0.88
252,460,5,0,3.6185971,2.35816714,Validation,5.98,8.16,2.19
289,460,20,30,4.292892405,3.700751032,Training,7.99,6.65,1.34
254,460,5,60,5.21374694,3.709451261,Training,8.92,8.45,0.47
255,460,5,90,4.245990169,2.871210527,Training,7.12,7.65,0.53
256,460,5,120,3.522692067,3.380128045,Training,6.90,7.22,0.31
257,460,5,150,7.912670903,4.841674288,Validation,12.75,6.95,5.81
258,460,5,180,6.033800504,4.29248541,Training,10.33,6.23,4.09
259,460,5,210,6.231896726,4.131979118,Validation,10.36,6.10,4.27
260,460,5,240,8.388705875,5.757408735,Training,14.15,11.88,2.27
261,460,5,270,5.610942147,4.361225443,Training,9.97,6.13,3.84
262,460,5,300,5.573132022,4.535329235,Training,10.11,8.99,1.12
263,460,5,330,5.162575013,3.200910893,Validation,8.36,7.98,0.38
264,460,10,0,6.30431631,5.051574763,Validation,11.36,9.18,2.18
373,480,20,30,4.310934496,3.070504843,Training,7.38,6.66,0.73
266,460,10,60,4.36953041,3.534752241,Training,7.90,6.75,1.16
267,460,10,90,5.497928633,4.202574571,Training,9.70,8.02,1.68
268,460,10,120,3.973452686,3.07228908,Training,7.05,8.38,1.33
269,460,10,150,3.455006581,3.27599243,Validation,6.73,10.60,3.87
270,460,10,180,12.05895406,4.794627988,Validation,16.85,7.40,9.45
271,460,10,210,13.10015574,5.445127289,Training,18.55,6.85,11.69
272,460,10,240,17.60696795,4.692164927,Training,22.30,11.40,10.90
273,460,10,270,9.598221978,4.958183457,Validation,14.56,5.47,9.08
274,460,10,300,3.779482803,3.296240043,Training,7.08,7.07,0.00
275,460,10,330,5.818340224,4.137213715,Training,9.96,7.26,2.69
276,460,15,0,4.975540648,3.948347542,Validation,8.92,8.50,0.42
457,500,20,30,6.925053766,3.945623455,Training,10.87,6.67,4.20
278,460,15,60,4.752977547,3.511258616,Training,8.26,7.38,0.89
279,460,15,90,4.766244343,3.931741973,Training,8.70,7.75,0.95
280,460,15,120,7.097014123,4.356767828,Training,11.45,9.40,2.05
281,460,15,150,9.444593353,7.244114886,Training,16.69,10.86,5.83
282,460,15,180,9.58781309,4.181117335,Training,13.77,7.70,6.07
283,460,15,210,5.233688266,3.878372056,Training,9.11,5.55,3.56
284,460,15,240,6.274572868,3.328448211,Training,9.60,5.39,4.21
285,460,15,270,2.984613897,2.214943801,Training,5.20,5.92,0.72
286,460,15,300,5.082938785,3.558423609,Training,8.64,7.19,1.46
287,460,15,330,6.782863995,4.633998186,Training,11.42,7.88,3.54
288,460,20,0,4.674298548,3.202006238,Training,7.88,8.08,0.21
49,400,25,30,5.342218791,4.143163484,Validation,9.49,6.96,2.52
290,460,20,60,5.139185207,3.656811639,Training,8.80,7.88,0.92
291,460,20,90,4.360709716,2.981568684,Training,7.34,7.80,0.46
292,460,20,120,3.842983459,2.781351061,Training,6.62,5.76,0.86
293,460,20,150,7.692284914,4.010190553,Validation,11.70,9.32,2.38
294,460,20,180,9.340624303,5.24957868,Training,14.59,7.29,7.30
295,460,20,210,4.104504447,3.302043555,Validation,7.41,6.40,1.01
296,460,20,240,3.370482327,2.909125824,Training,6.28,6.30,0.02
297,460,20,270,5.516030867,3.851628357,Training,9.37,5.87,3.49
298,460,20,300,4.849286353,3.212799762,Training,8.06,7.66,0.40
299,460,20,330,4.888418207,3.639939359,Training,8.53,8.15,0.38
300,460,25,0,5.422185235,4.529367152,Training,9.95,8.11,1.84
133,420,25,30,5.040020663,3.253413263,Training,8.29,6.98,1.32
302,460,25,60,4.08295466,3.425525813,Training,7.51,7.52,0.02
303,460,25,90,6.334952396,3.895964136,Validation,10.23,7.48,2.75
304,460,25,120,4.217764652,3.078450055,Training,7.30,5.55,1.74
305,460,25,150,5.036732578,2.928872183,Training,7.97,6.24,1.73
306,460,25,180,7.699154683,3.771871367,Validation,11.47,6.16,5.31
307,460,25,210,4.599631749,2.673267855,Training,7.27,5.94,1.34
308,460,25,240,6.124930514,3.365181797,Validation,9.49,7.49,2.00
309,460,25,270,4.627328434,3.03736328,Validation,7.66,7.86,0.20
310,460,25,300,4.49002225,3.924840142,Training,8.41,8.04,0.38
311,460,25,330,5.330607684,3.378822334,Training,8.71,8.50,0.21
312,460,30,0,4.805676864,3.729920645,Training,8.54,8.25,0.28
217,440,25,30,4.039349776,3.761498613,Validation,7.80,6.98,0.83
314,460,30,60,4.829484657,3.82765538,Training,8.66,7.39,1.27
315,460,30,90,6.389079409,3.626474574,Validation,10.02,7.19,2.83
316,460,30,120,6.279690605,4.308025136,Training,10.59,10.40,0.19
317,460,30,150,5.010420973,3.133347912,Training,8.14,9.54,1.40
318,460,30,180,8.794378692,2.507376567,Training,11.30,6.87,4.44
319,460,30,210,5.851993119,3.276452372,Validation,9.13,8.06,1.07
320,460,30,240,7.877412202,3.885202978,Training,11.76,6.02,5.74
321,460,30,270,4.129227042,3.02504585,Training,7.15,6.20,0.96
322,460,30,300,5.275003336,3.329408939,Training,8.60,7.71,0.89
323,460,30,330,5.357706461,4.000052268,Training,9.36,8.20,1.16
324,460,35,0,4.213565834,3.693318101,Training,7.91,8.70,0.80
301,460,25,30,5.472065807,3.497943197,Training,8.97,7.15,1.82
326,460,35,60,6.054980574,5.266470837,Training,11.32,8.34,2.98
327,460,35,90,5.65569276,4.042869094,Training,9.70,7.11,2.59
328,460,35,120,5.524352174,4.189380673,Validation,9.71,10.55,0.83
329,460,35,150,5.411655375,3.139889888,Training,8.55,10.08,1.53
330,460,35,180,6.499958003,4.768078692,Validation,11.27,6.14,5.12
331,460,35,210,3.784832744,3.092229325,Training,6.88,6.79,0.08
332,460,35,240,4.805353416,3.445071009,Training,8.25,6.76,1.49
333,460,35,270,8.168131664,3.330340287,Training,11.50,5.97,5.52
334,460,35,300,4.319255299,3.07421705,Training,7.39,8.21,0.82
335,460,35,330,4.567301818,3.263410553,Training,7.83,7.81,0.02
336,480,5,0,6.873953088,4.58496188,Training,11.46,8.17,3.29
385,480,25,30,4.563567108,3.360435717,Validation,7.92,7.16,0.77
338,480,5,60,4.962722445,4.113431594,Training,9.08,8.55,0.53
339,480,5,90,6.687221352,5.350032089,Validation,12.04,8.00,4.03
340,480,5,120,6.194442807,3.138513484,Training,9.33,8.05,1.29
341,480,5,150,7.748268917,4.415411913,Training,12.16,10.14,2.02
342,480,5,180,5.671720174,4.187141727,Training,9.86,6.30,3.56
343,480,5,210,9.949631081,4.797556515,Validation,14.75,6.15,8.59
344,480,5,240,5.318956774,3.888550271,Validation,9.21,6.29,2.92
345,480,5,270,4.495247784,3.230134364,Validation,7.73,6.22,1.51
346,480,5,300,7.956306512,3.877565912,Training,11.83,9.34,2.49
347,480,5,330,4.194413094,3.354553959,Training,7.55,7.99,0.44
348,480,10,0,4.07143736,3.419334963,Validation,7.49,8.11,0.62
469,500,25,30,7.201446031,4.376319944,Training,11.58,7.08,4.50
350,480,10,60,5.66829529,3.929604537,Validation,9.60,6.70,2.90
351,480,10,90,8.028351854,3.274916107,Training,11.30,8.10,3.21
352,480,10,120,6.179099516,4.27649731,Training,10.46,8.30,2.16
353,480,10,150,8.397804728,5.582641874,Training,13.98,10.60,3.38
354,480,10,180,6.399229247,5.101123491,Training,11.50,7.41,4.09
355,480,10,210,4.84343625,4.190448155,Training,9.03,6.76,2.27
356,480,10,240,11.15343445,5.770302098,Training,16.92,11.40,5.53
357,480,10,270,5.844413914,4.073496906,Training,9.92,5.73,4.19
358,480,10,300,3.730543666,3.845711143,Training,7.58,7.10,0.48
359,480,10,330,8.623120211,4.380699803,Validation,13.00,7.29,5.71
360,480,15,0,4.699810356,3.425243439,Training,8.13,8.42,0.30
61,400,30,30,6.464045688,3.663316091,Training,10.13,7.22,2.91
362,480,15,60,5.238559289,4.11974138,Training,9.36,7.39,1.97
363,480,15,90,14.8726835,5.856690349,Validation,20.73,7.66,13.07
364,480,15,120,27.65319816,5.40038768,Training,33.05,10.97,22.09
365,480,15,150,12.50128111,4.307951155,Training,16.81,10.85,5.95
366,480,15,180,8.965109381,5.237870392,Validation,14.20,7.76,6.44
367,480,15,210,4.58472947,4.301631893,Training,8.89,5.52,3.37
368,480,15,240,6.064946629,4.430029611,Training,10.49,5.42,5.08
369,480,15,270,4.579547366,3.687534834,Training,8.27,6.00,2.27
370,480,15,300,4.869890176,3.578763554,Training,8.45,7.26,1.19
371,480,15,330,5.125431621,4.216731052,Training,9.34,8.06,1.28
372,480,20,0,6.587641202,4.466572482,Validation,11.05,8.04,3.02
145,420,30,30,6.277076283,4.339813786,Training,10.62,7.21,3.40
374,480,20,60,8.629139844,5.128224607,Training,13.76,7.88,5.88
375,480,20,90,9.891674357,3.788537037,Training,13.68,7.54,6.14
376,480,20,120,5.03539811,3.703278568,Training,8.74,5.77,2.97
377,480,20,150,5.70632751,3.646100623,Training,9.35,8.18,1.17
378,480,20,180,6.13304396,3.447638436,Training,9.58,7.05,2.53
379,480,20,210,7.244909127,4.907990536,Training,12.15,6.40,5.76
380,480,20,240,6.220228032,2.945129971,Training,9.17,6.12,3.04
381,480,20,270,5.645324954,3.378149208,Training,9.02,6.63,2.40
382,480,20,300,5.54492798,3.92568588,Training,9.47,7.33,2.14
383,480,20,330,5.254798933,3.094078134,Training,8.35,8.13,0.22
384,480,25,0,4.573342037,2.506988153,Training,7.08,8.14,1.06
229,440,30,30,4.648443913,3.251069608,Training,7.90,7.24,0.66
386,480,25,60,7.230283647,4.376648499,Training,11.61,7.53,4.07
387,480,25,90,8.484904077,3.580085827,Validation,12.06,7.49,4.57
388,480,25,120,4.703007072,3.269320504,Training,7.97,5.56,2.41
389,480,25,150,5.441709821,4.011748302,Validation,9.45,6.24,3.22
390,480,25,180,5.075723095,3.245262381,Training,8.32,6.26,2.06
391,480,25,210,5.07698376,3.89886863,Training,8.98,5.85,3.12
392,480,25,240,4.724972995,4.514131161,Training,9.24,7.48,1.76
393,480,25,270,5.546348158,3.368821479,Training,8.92,7.24,1.68
